time_5,height_5,herr_5
s,cm,cm
0,1,0.1
9.08,2,0.1
20.361,3,0.1
33.153,4,0.1
45.271,5,0.1
59.557,6,0.1
73.075,7,0.1
89.555,8,0.1
106.656,9,0.1
125.514,10,0.1
147.056,11,0.1
170.843,12,0.1
197.901,13,0.1
232.926,14,0.1
320.099,15,0.1
387.97,16,0.1
502.657,17,0.1
708.465,18,0.1
