time_4,height_4,herr_4
s,cm,cm
0,1.2,0.1
7.858,4,0.1
11.55,5,0.1
14.958,6,0.1
18.952,7,0.1
22.803,8,0.1
27.412,9,0.1
32.766,10,0.1
38.324,11,0.1
44.186,12,0.1
51.49,13,0.1
60.105,14,0.1
70.482,15,0.1
83.346,16,0.1
100.252,17,0.1
129.025,18,0.1
201.668,19,0.1
