time_2,height_2,herr_2
s,cm,cm
0,1,0.1
3.485,4,0.1
4.844,5,0.1
6.226,6,0.1
7.814,7,0.1
9.276,8,0.1
12.311,9,0.1
13.172,10,0.1
15.317,11,0.1
18.02,12,0.1
20.915,13,0.1
24.034,14,0.1
28.583,15,0.1
33.851,16,0.1
41.523,17,0.1
55.1,18,0.1
73.27,19,0.1
74.561,19.5,0.1
