time_1,height_1,herr_1
s,cm,cm
0,1,0.1
3.911,9,0.1
4.741,10,0.1
5.38,11,0.1
6.11,12,0.1
6.989,13,0.1
8.055,14,0.1
9.275,15,0.1
10.656,16,0.1
12.585,17,0.1
15.302,18,0.1
19.732,19,0.1
24.136,19.5,0.1
